fecha,tipo_reporte,recuperados,fallecidos,isopados,positivos
4-9-2022,S,47,0,1116,25
28-8-2022,S,93,0,1252,71
21-8-2022,S,135,1,1455,101
14-8-2022,S,339,4,1465,235
7-8-2022,S,383,0,1744,377
31-7-2022,S,409,3,2088,475
24-7-2022,S,317,3,1588,333
17-7-2022,S,259,2,1629,347
10-7-2022,S,213,0,1403,314
3-7-2022,S,88,0,848,152
26-6-2022,S,64,0,964,106
19-6-2022,S,15,0,736,40
13-6-2022,S,21,0,1028,27
6-6-2022,S,32,0,1206,25
30-5-2022,S,22,0,1077,23
23-5-2022,S,19,0,1084,28
16-5-2022,S,10,0,788,14
9-5-2022,S,3,0,885,8
2-5-2022,S,2,0,741,2
25-4-2022,S,1,0,683,2
18-4-2022,S,3,0,843,3
18/04/2022,D,0,0,93,0
17/04/2022,D,0,0,60,0
16/04/2022,D,0,0,70,0
15/04/2022,D,0,0,80,0
14/04/2022,D,0,0,181,0
13/04/2022,D,1,0,198,0
12/04/2022,D,1,0,96,1
11/04/2022,D,0,0,83,0
10/04/2022,D,2,0,225,0
09/04/2022,D,0,0,188,0
08/04/2022,D,1,0,259,1
07/04/2022,D,1,0,236,1
06/04/2022,D,0,0,290,0
05/04/2022,D,2,0,282,2
04/04/2022,D,0,0,134,0
03/04/2022,D,1,0,309,1
02/04/2022,D,0,0,250,0
01/04/2022,D,3,0,101,0
31/03/2022,D,1,0,476,2
30/03/2022,D,0,0,308,0
29/03/2022,D,1,0,163,1
28/03/2022,D,2,0,145,0
27/03/2022,D,2,0,299,3
26/03/2022,D,0,0,180,0
25/03/2022,D,1,0,311,1
24/03/2022,D,0,0,341,0
23/03/2022,D,1,0,430,2
22/03/2022,D,7,0,216,2
21/03/2022,D,3,0,195,0
20/03/2022,D,19,0,422,0
19/03/2022,D,7,0,395,0
18/03/2022,D,11,0,335,0
17/03/2022,D,9,0,442,0
16/03/2022,D,27,0,469,2
14/03/2022,D,33,0,171,0
13/03/2022,D,52,0,449,4
12/03/2022,D,36,0,438,2
11/03/2022,D,27,0,558,0
10/03/2022,D,46,0,546,0
09/03/2022,D,38,0,834,7
08/03/2022,D,47,0,319,2
07/03/2022,D,69,0,357,3
06/03/2022,D,35,0,1101,8
05/03/2022,D,58,0,1311,6
04/03/2022,D,46,0,1454,21
03/03/2022,D,51,0,789,9
02/03/2022,D,87,0,600,0
01/03/2022,D,60,0,226,6
28/02/2022,D,33,0,302,5
27/02/2022,D,37,0,788,4
26/02/2022,D,34,0,1057,6
25/02/2022,D,20,0,1204,11
24/02/2022,D,40,0,1082,15
23/02/2022,D,52,0,1322,21
22/02/2022,D,25,0,388,9
21/02/2022,D,24,0,278,2
20/02/2022,D,32,0,667,23
19/02/2022,D,41,0,690,21
18/02/2022,D,38,0,739,21
17/02/2022,D,47,0,754,28
16/02/2022,D,28,0,883,38
15/02/2022,D,25,0,313,14
14/02/2022,D,15,0,221,4
13/02/2022,D,91,0,524,21
12/02/2022,D,87,0,507,27
11/02/2022,D,110,0,536,24
10/02/2022,D,160,0,620,42
09/02/2022,D,129,0,649,45
08/02/2022,D,112,2,244,17
07/02/2022,D,65,2,237,15
06/02/2022,D,130,0,555,61
05/02/2022,D,240,0,626,71
04/02/2022,D,275,3,633,66
03/02/2022,D,308,4,688,100
02/02/2022,D,611,4,846,110
01/02/2022,D,73,6,521,89
31/01/2022,D,229,3,348,45
30/01/2022,D,273,5,823,133
29/01/2022,D,722,7,954,236
28/01/2022,D,773,6,921,264
27/01/2022,D,1861,5,1039,301
26/01/2022,D,684,5,1721,621
25/01/2022,D,554,5,0,0
24/01/2022,D,654,4,0,0
23/01/2022,D,982,4,1244,387
22/01/2022,D,1023,4,1780,717
21/01/2022,D,2461,5,1768,852
20/01/2022,D,1830,4,1889,949
19/01/2022,D,900,6,0,0
18/01/2022,D,950,5,1216,799
17/01/2022,D,400,5,2200,956
16/01/2022,D,390,3,2835,981
15/01/2022,D,982,5,4474,2458
14/01/2022,D,3754,3,3906,1862
13/01/2022,D,9104,0,3980,1955
12/01/2022,D,227,0,4434,2300
09/01/2022,D,582,0,7257,2505
08/01/2022,D,541,3,7763,2385
07/01/2022,D,323,1,6545,2842
05/01/2022,D,17,0,5450,1922
04/01/2022,D,32,0,3767,1884
03/01/2022,D,69,1,1749,715
02/01/2022,D,72,0,835,239
01/01/2022,D,70,0,967,322
31/12/2021,D,86,0,2188,746
30/12/2021,D,33,1,1777,565
29/12/2021,D,18,0,1551,455
28/12/2021,D,17,1,1211,260
27/12/2021,D,17,0,507,54
26/12/2021,D,18,0,236,24
25/12/2021,D,26,0,363,59
24/12/2021,D,16,0,728,59
23/12/2021,D,13,0,673,48
22/12/2021,D,16,0,626,69
21/12/2021,D,8,0,399,28
20/12/2021,D,22,0,268,13
19/12/2021,D,11,1,257,10
18/12/2021,D,8,0,575,25
17/12/2021,D,11,0,397,25
16/12/2021,D,10,0,488,26
15/12/2021,D,11,0,480,11
14/12/2021,D,7,1,489,19
13/12/2021,D,5,0,266,5
12/12/2021,D,14,0,191,4
11/12/2021,D,8,0,423,22
10/12/2021,D,8,0,464,21
9/12/2021,D,6,0,224,5
8/12/2021,D,9,0,448,11
07/12/2021,D,16,0,542,10
06/12/2021,D,8,0,166,11
04/12/2021,D,11,0,424,4
03/12/2021,D,7,0,405,6
02/12/2021,D,18,0,486,5
01/12/2021,D,2,0,336,10
30/11/2021,D,6,0,537,8
29/11/2021,D,1,0,228,0
28/11/2021,D,2,0,169,2
27/11/2021,D,3,0,417,6
26/11/2021,D,2,0,337,4
25/11/2021,D,2,0,456,6
24/11/2021,D,1,0,445,4
23/11/2021,D,0,0,340,3
22/11/2021,D,0,0,156,0
21/11/2021,D,0,0,162,0
20/11/2021,D,2,0,309,0
19/11/2021,D,4,0,326,5
18/11/2021,D,4,0,725,4
17/11/2021,D,17,0,363,6
16/11/2021,D,21,0,491,5
15/11/2021,D,50,0,320,5
14/11/2021,D,8,0,133,7
13/11/2021,D,76,0,488,5
12/11/2021,D,47,0,390,0
11/11/2021,D,32,0,449,2
10/11/2021,D,6,0,439,0
9/11/2021,D,1,0,388,2
8/11/2021,D,7,0,244,2
7/11/2021,D,13,0,179,0
6/11/2021,D,7,0,292,3
5/11/2021,D,12,0,354,2
4/11/2021,D,9,0,413,2
3/11/2021,D,5,0,262,6
3/11/2021,D,5,0,262,6
2/11/2021,D,7,0,420,8
1/11/2021,D,8,1,194,0
31/10/2021,D,0,0,180,0
30/10/2021,D,7,1,457,9
29/10/2021,D,5,0,532,11
28/10/2021,D,3,0,565,7
27/10/2021,D,3,0,605,11
26/10/2021,D,12,0,670,15
25/10/2021,D,6,1,261,4
24/10/2021,D,3,0,243,4
23/10/2021,D,3,0,498,9
22/10/2021,D,3,0,391,14
21/10/2021,D,6,0,427,6
20/10/2021,D,6,0,412,6
19/10/2021,D,1,0,517,5
18/10/2021,D,1,0,199,0
17/10/2021,D,4,0,167,5
16/10/2021,D,5,0,407,5
15/10/2021,D,10,0,399,14
14/10/2021,D,3,0,474,9
13/10/2021,D,4,0,660,3
12/10/2021,D,7,0,440,8
12/10/2021,D,7,0,440,8
11/10/2021,D,9,0,303,7
10/10/2021,D,5,0,225,0
09/10/2021,D,9,0,379,0
08/10/2021,D,11,0,521,5
07/10/2021,D,14,0,549,7
06/10/2021,D,2,0,591,12
05/10/2021,D,7,0,687,6
04/10/2021,D,12,0,357,6
03/10/2021,D,8,0,229,4
02/10/2021,D,12,0,805,8
01/10/2021,D,8,0,680,21
30/09/2021,D,19,2,655,15
29/09/2021,D,6,0,639,15
28/09/2021,D,6,1,655,14
27/09/2021,D,31,0,355,9
26/09/2021,D,22,0,368,6
25/09/2021,D,22,0,630,11
24/09/2021,D,18,0,574,14
23/09/2021,D,222,0,730,17
22/09/2021,D,342,0,493,9
21/09/2021,D,197,0,913,19
20/09/2021,D,410,0,432,8
19/09/2021,D,852,0,363,5
18/09/2021,D,151,0,796,32
17/09/2021,D,71,0,859,14
16/09/2021,D,86,0,735,24
15/09/2021,D,57,0,1031,18
14/09/2021,D,40,0,1075,18
13/09/2021,D,153,0,378,9
12/09/2021,D,86,1,537,15
11/09/2021,D,37,0,816,28
10/09/2021,D,74,2,777,22
09/09/2021,D,91,0,857,29
08/09/2021,D,131,0,1000,53
07/09/2021,D,145,3,1187,72
06/09/2021,D,132,0,338,21
05/09/2021,D,53,0,574,30
04/09/2021,D,170,0,1031,61
03/09/2021,D,254,0,840,53
02/09/2021,D,201,2,1233,59
01/09/2021,D,251,1,1055,67
31/08/2021,D,325,2,1504,88
30/08/2021,D,148,0,661,42
29/08/2021,D,44,3,571,21
28/08/2021,D,167,2,1203,101
27/08/2021,D,234,2,1400,113
26/08/2021,D,204,2,1574,0
25/08/2021,D,315,1,1211,0
24/08/2021,D,367,3,1816,0
23/08/2021,D,599,3,804,83
22/08/2021,D,77,4,622,69
21/08/2021,D,139,1,1640,190
20/08/2021,D,318,4,2084,182
19/08/2021,D,437,1,1868,265
18/08/2021,D,351,2,1688,338
17/08/2021,D,446,5,949,155
16/08/2021,D,412,6,363,55
15/08/2021,D,106,1,703,107
14/08/2021,D,167,2,1343,242
13/08/2021,D,411,1,1322,218
12/08/2021,D,350,3,1826,311
11/08/2021,D,370,2,1398,193
10/08/2021,D,617,4,2450,446
09/08/2021,D,522,6,907,168
08/08/2021,D,363,7,874,155
07/08/2021,D,481,6,1679,350
06/08/2021,D,530,4,1704,374
05/08/2021,D,525,6,1977,406
04/08/2021,D,586,5,1822,362
03/08/2021,D,521,6,2101,471
02/08/2021,D,629,6,823,176
01/08/2021,D,499,4,673,168
31/07/2021,D,536,3,1525,364
30/07/2021,D,763,5,1404,305
29/07/2021,D,619,7,1576,327
28/07/2021,D,641,6,1649,355
27/07/2021,D,597,5,1854,501
26/07/2021,D,70,6,725,160
25/07/2021,D,156,4,744,156
24/07/2021,D,150,0,1542,429
23/07/2021,D,258,4,1497,334
22/07/2021,D,513,7,1601,416
21/07/2021,D,459,5,1646,406
20/07/2021,D,594,6,1903,499
19/07/2021,D,679,10,790,149
18/07/2021,D,152,4,863,208
17/07/2021,D,235,7,1646,480
16/07/2021,D,434,3,1802,451
15/07/2021,D,370,6,1610,479
14/07/2021,D,405,4,2132,563
13/07/2021,D,552,0,2236,671
12/07/2021,D,543,3,812,217
11/07/2021,D,515,9,716,177
10/07/2021,D,682,8,1320,304
09/07/2021,D,703,0,1778,628
08/07/2021,D,663,12,1533,518
07/07/2021,D,702,6,1862,639
06/07/2021,D,608,4,1968,721
05/07/2021,D,885,7,891,215
03/07/2021,D,648,3,1433,426
02/07/2021,D,1008,5,1328,391
01/07/2021,D,1340,6,1481,444
30/06/2021,D,1129,9,1616,545
29/06/2021,D,1620,12,1693,550
28/06/2021,D,1390,1,827,230
27/06/2021,D,1552,9,809,259
26/06/2021,D,1441,4,1552,651
25/06/2021,D,1326,0,1612,498
24/06/2021,D,1272,5,1452,550
23/06/2021,D,850,0,1585,528
22/06/2021,D,61,9,1166,375
21/06/2021,D,39,0,522,167
20/06/2021,D,280,7,602,183
19/06/2021,D,278,6,1531,537
18/06/2021,D,292,0,1252,388
17/06/2021,D,326,13,1496,437
14/06/2021,D,198,14,901,242
16/06/2021,D,92,15,1924,679
15/06/2021,D,98,10,2083,789
13/06/2021,D,194,10,695,273
12/06/2021,D,148,11,1908,714
11/06/2021,D,196,7,2001,659
10/06/2021,D,251,7,1756,754
09/06/2021,D,336,8,2066,800
08/06/2021,D,284,9,2229,811
07/06/2021,D,198,11,1094,311
06/06/2021,D,353,10,801,262
05/06/2021,D,250,13,2159,824
04/06/2021,D,185,17,1863,720
03/06/2021,D,205,9,2052,753
02/06/2021,D,166,6,2186,819
01/06/2021,D,209,8,2171,862
31/05/2021,D,201,10,1235,426
30/05/2021,D,185,17,971,386
29/05/2021,D,123,8,2008,933
28/05/2021,D,165,4,1864,767
27/05/2021,D,249,14,1986,806
26/05/2021,D,179,13,1378,561
25/05/2021,D,187,12,1819,689
24/05/2021,D,355,13,890,341
23/05/2021,D,191,10,735,272
22/05/2021,D,209,7,2180,872
19/05/2021,D,352,6,2293,844
18/05/2021,D,301,5,2123,787
16/05/2021,D,183,4,726,164
15/05/2021,D,396,3,1443,606
14/05/2021,D,368,3,1562,535
13/05/2021,D,422,3,1452,481
12/05/2021,D,377,3,1341,429
11/05/2021,D,485,3,1608,459
10/05/2021,D,215,4,600,152
09/05/2021,D,232,0,400,112
08/05/2021,D,292,3,1142,365
07/05/2021,D,322,0,1105,291
05/05/2021,D,442,2,1226,324
06/05/2021,D,278,3,1111,285
04/05/2021,D,363,0,1263,328
03/05/2021,D,163,0,547,154
30/04/2021,D,276,4,1146,280
01/05/2021,D,224,3,955,285
02/05/2021,D,204,2,293,69
29/04/2021,D,255,4,1075,221
27/04/2021,D,120,2,1189,286
28/04/2021,D,122,3,1053,298
